track_id,track_name,track_artist,track_album_name,energy,tempo,danceability,loudness,liveness,valence,speechiness,track_popularity,instrumentalness,duration_ms,acousticness
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,0.592,157.969,0.521,-7.777,0.122,0.535,0.0304,100,0.0,251668,0.308
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,0.507,104.978,0.747,-10.171,0.117,0.438,0.0358,97,0.0608,210373,0.2
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,The Secret of Us (Deluxe),0.808,108.548,0.554,-4.169,0.159,0.372,0.0368,93,0.0,166300,0.214
1d7Ptw3qYcfpdLNL5REhtJ,Taste,Sabrina Carpenter,Short n' Sweet,0.91,112.966,0.67,-4.07,0.304,0.786,0.0634,81,0.0,157280,0.0939
5vNRhkKd0yEAg8suGBpjeY,APT.,"ROSÉ, Bruno Mars",APT.,0.783,149.027,0.777,-4.477,0.355,0.939,0.26,98,0.0,169917,0.0283
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",0.582,116.712,0.7,-5.96,0.0881,0.785,0.0356,94,0.0,218424,0.0502
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Addison Rae,Diet Pepsi,0.561,150.069,0.669,-6.538,0.0954,0.841,0.0411,88,0.00962,169698,0.495
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,0.247,148.101,0.467,-12.002,0.17,0.126,0.0431,93,0.000271,261467,0.612
0UYnhUfnUj5adChuAXvLUB,Sailor Song,Gigi Perez,Sailor Song,0.416,94.926,0.492,-10.439,0.203,0.297,0.0254,71,8.61e-05,211979,0.686
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Timeless,0.722,119.973,0.769,-5.485,0.111,0.57,0.0507,92,2.56e-06,256000,0.0584
3WOhcATHxK2SLNeP5W3v1v,Guess featuring billie eilish,"Charli xcx, Billie Eilish",Guess featuring Billie Eilish,0.667,130.019,0.776,-6.622,0.0761,0.618,0.0983,85,0.3,145219,0.0146
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,Please Please Please,0.586,107.071,0.669,-6.073,0.104,0.579,0.054,88,0.0,186365,0.274
1f18HzFpegqvH4ibGJyeMJ,2 hands,Tate McRae,2 hands,0.806,104.032,0.608,-3.443,0.191,0.587,0.0486,79,0.0,181821,0.121
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),0.709,81.012,0.722,-4.95,0.0804,0.604,0.0273,86,0.0,171292,0.0633
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,0.757,139.982,0.742,-4.981,0.305,0.957,0.0421,88,0.0,184841,0.0187
19KlZwqlT3fguP2BeHF1Q1,Disease,Lady Gaga,Disease,0.917,100.987,0.562,-2.768,0.488,0.501,0.117,86,0.0,229997,0.0513
5G345YEhvleYxQLfYUlEFv,Moonlit Floor (Kiss Me),LISA,Moonlit Floor (Kiss Me),0.787,109.939,0.734,-3.951,0.312,0.672,0.116,82,0.0,155757,0.126
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,Morgan Wallen,Love Somebody,0.843,122.064,0.619,-5.348,0.164,0.746,0.0284,86,0.000118,204829,0.00948
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,0.406,115.94,0.53,-7.507,0.133,0.338,0.033,90,0.0,157147,0.656
1BJJbSX6muJVF2AK7uH1x4,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,0.782,119.992,0.727,-8.529,0.225,0.655,0.042,86,0.336,177599,0.0563
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",CHROMAKOPIA,0.812,80.09,0.505,-3.986,0.444,0.664,0.461,88,0.0,255916,0.285
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,Espresso,0.76,103.969,0.701,-5.478,0.185,0.69,0.0285,90,6.54e-05,175459,0.107
2CspwnypzT7rcWI9RfsoSb,Mantra,JENNIE,Mantra,0.725,116.988,0.894,-4.984,0.0815,0.838,0.0432,89,1.15e-05,136627,0.00434
0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,0.563,105.008,0.833,-5.593,0.139,0.343,0.204,82,1.27e-05,182857,0.528
2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,Don Toliver,HARDSTONE PSYCHO,0.628,119.98,0.757,-6.715,0.221,0.321,0.101,85,0.0209,217333,0.189
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",I Had Some Help,0.855,127.986,0.638,-4.86,0.245,0.731,0.0264,84,0.0,178206,0.00757
4IadxL6BUymXlh8RCJJu7T,Too Sweet,Hozier,Unheard,0.62,117.038,0.741,-5.505,0.0398,0.934,0.0412,77,0.000809,251424,0.0295
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,The Marías,Submarine,0.339,97.989,0.705,-10.612,0.12,0.457,0.0278,84,0.0814,236907,0.552
1cOboCuWYI2osTOfolMRS6,Tu Boda,"Oscar Maydon, Fuerza Regida",Tu Boda,0.651,112.648,0.694,-6.968,0.0787,0.471,0.0784,93,1.36e-05,225881,0.496
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,Stargazing,0.601,123.994,0.635,-6.129,0.11,0.332,0.0295,88,0.0,172533,0.246
4VI2Y5xg4gYynQqNQNQbTN,WHATCHU KNO ABOUT ME (with Sexyy Red),"GloRilla, Sexyy Red",WHATCHU KNO ABOUT ME (with Sexyy Red),0.691,167.029,0.836,-4.222,0.282,0.703,0.363,70,0.0,149461,0.00586
46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,0.646,115.842,0.645,-8.334,0.074,0.295,0.0427,81,3.04e-05,228639,0.0615
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,Benson Boone,Beautiful Things,0.471,105.029,0.472,-5.692,0.14,0.219,0.0603,85,0.0,180304,0.151
0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",LA PANTERA NEGRA (DELUXE),0.709,194.055,0.744,-5.778,0.0847,0.712,0.284,84,0.0,130880,0.0501
6aJn7Cst74cj4lNIiPRgav,Touch,KATSEYE,Touch,0.904,167.033,0.739,-2.655,0.0948,0.788,0.0442,85,1.03e-05,129883,0.549
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),0.604,159.92,0.561,-4.409,0.104,0.242,0.0337,89,1.9e-05,210689,0.199
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,Mark Ambor,Belong Together,0.668,90.969,0.646,-5.203,0.212,0.64,0.0282,82,0.0,148318,0.491
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,0.668,128.027,0.924,-6.795,0.0678,0.787,0.0469,93,0.000594,195824,0.446
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,DECIDE,0.454,159.982,0.689,-7.643,0.0707,0.912,0.0584,89,0.00259,159246,0.0351
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",THE TORTURED POETS DEPARTMENT,0.386,192.004,0.504,-10.976,0.0961,0.281,0.0308,84,1.53e-05,228965,0.502
0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",PRIMERA MUSA,0.681,155.079,0.56,-6.304,0.106,0.388,0.244,89,0.0,223320,0.103
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,Not Like Us,0.472,101.061,0.898,-7.001,0.141,0.214,0.0776,88,0.0,274192,0.0107
4p7DTkyrKqT98xlIwYYfXz,Running Wild,Jin,Happy,0.711,146.921,0.487,-4.22,0.152,0.317,0.0322,85,0.0,151647,0.000175
